,0,1,2
0,workers,3.0534972722091036e-05,0.006695585422022932
1,thu,0.0071553619412099995,0.013811548818676966
2,com,0.10020560214966208,0.17516358186404124
3,36,0.002514046087452162,0.0028817214782682864
4,exmh,1.0178324240697012e-05,0.017162387746895904
5,23,0.006992508753358847,0.009266592745129098
6,12,0.010127432619493526,0.011386759921529445
7,22,0.012692370328149174,0.011874154674724927
8,redhat,1.0178324240697012e-05,0.009010710499701471
9,admin,0.003572591808484651,0.0196115463817032
10,aug,0.006218956111065874,0.016589698911891212
11,from,0.05845411611432294,0.07644177460429638
12,2002,0.04485587492875173,0.07512580877066859
13,example,0.0013333604755313086,0.045711535415321254
14,path,0.006239312759547268,0.009205668400979663
15,return,0.007216431886654181,0.009729617760664807
16,127,0.005710039899031023,0.02275524253981406
17,received,0.03176654995521537,0.04615019069319719
18,phobos,0.0037354449963358034,0.003844326115829363
19,0,0.037832831202670794,0.08204681426604443
20,1,0.040927041771842684,0.0788665635014439
21,11,0.017537252666720952,0.027385492695171137
22,6,0.0156644410064327,0.02044011746213552
23,for,0.052469261460793094,0.05870060558798085
24,org,0.015990147382135004,0.038230025953770605
25,dogma,0.006890725510951877,0.012008188231853683
26,id,0.034718263985017504,0.049464475014926464
27,slashnull,0.006890725510951877,0.012008188231853683
28,g7mbyrz04811,1.0178324240697012e-05,1.827730324483057e-05
29,with,0.041883804250468205,0.05810354701531638
30,esmtp,0.016885839915316343,0.02815313943145402
31,8,0.02067217653285563,0.026240115025161753
32,listman,1.0178324240697012e-05,0.00641533343893553
33,8386540858,1.0178324240697012e-05,1.827730324483057e-05
34,postfix,0.005201123686996173,0.01565146401198991
35,int,0.00011196156664766712,0.0020287806601761932
36,corp,9.16049181662731e-05,0.002016595791346306
37,mx1,0.0002544581060174253,0.002698948445819981
38,172,0.0004987378877941536,0.002540545151031449
39,10cf8406d7,1.0178324240697012e-05,1.827730324483057e-05
40,254,0.00013231821512906116,0.0007006299577185051
